month,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020-10-01,339839,394208,483802,495713,650026,596368,472965,525963,244652,32420
2020-11-01,343797,393852,484748,502172,654740,601506,466743,516600,239147,31323
2020-12-01,343242,393599,485633,501855,652976,603299,465455,516254,240315,31635
2021-01-01,342546,393387,487178,501471,651041,605312,464128,516165,241515,31864
2021-02-01,341820,392925,487810,501155,649090,606876,462659,515349,243001,32187
2021-03-01,340972,392166,487369,500553,647283,608181,461677,514701,244589,32476
2021-04-01,340146,391844,486536,499565,644980,609735,460449,514130,245901,32934
2021-05-01,340046,391482,486717,499188,643295,611890,459693,513625,246862,33118
2021-06-01,339525,390825,486360,498615,641542,613878,459046,512955,247497,33183
2021-07-01,339085,390272,486003,498179,639697,615908,458380,512546,248342,33336
2021-08-01,338631,389475,485976,497713,637441,618242,457809,512015,249671,33589
2021-09-01,338183,388920,485634,497116,635295,620212,457439,511156,250888,33786
2021-10-01,337720,388160,485390,496435,633335,622171,457039,510180,252155,34068
2021-11-01,337204,387530,485111,495940,631495,624126,456510,509244,253540,34320
2021-12-01,336988,386957,484812,495445,629533,625928,456062,508018,254863,34552
2022-01-01,336249,386350,484512,494874,627382,627380,455835,507028,256276,34840
